Q_Noun,Question1,Audio1,Answer1
agony,"_""Will the operation be painful?""_",,"<span style=""font-size:14pt;color:navy;font-family:comic sans ms;"">Whilst it will not be entirely pain free, there is a lot we routinely do to minimise pain, and after that, if you're still sore, just let your nurses and doctors know and we can try different things to minimise the pain and to keep you comfortable.</span>"
complications,"_""What are the main risks with appendicectomy?""_",('/Users/alastairhayes/Desktop/Eponyms/Consent/Appendix_risks.wav'),"<span style=""font-size:14pt;color:navy;font-family:comic sans ms;"">Risks include injury to nearby structures such as bowel, bladder, blood vessels, and in women, damage to pelvic organs. Collections. Deep vein blood clots. Respiratory complications.</span>"
hospital,"_""How long will I stay in hospital?""_",,"<span style=""font-size:14pt;color:navy;font-family:comic sans ms;"">After an appendicectomy, if it is straight forward, patients are often ready for discharge home by around 24 hours after the surgery. However, if the operation was challenging, such as requiring open surgery or if the appendicitis was severe, patients can be in hospital for up to a few days needing strong pain medications or intravenous antibiotics.</span>"
hurt,"_""Will the operation be painful?""_",,"<span style=""font-size:14pt;color:navy;font-family:comic sans ms;"">Whilst it will not be entirely pain free, there is a lot we routinely do to minimise pain, and after that, if you're still sore, just let your nurses and doctors know and we can try different things to minimise the pain and to keep you comfortable.</span>"
pain,"_""Will the operation be painful?""_",,"<span style=""font-size:14pt;color:navy;font-family:comic sans ms;"">Whilst it will not be entirely pain free, there is a lot we routinely do to minimise pain, and after that, if you're still sore, just let your nurses and doctors know and we can try different things to minimise the pain and to keep you comfortable.</span>"
painful,"_""Will the operation be painful?""_",,"<span style=""font-size:14pt;color:navy;font-family:comic sans ms;"">Whilst it will not be entirely pain free, there is a lot we routinely do to minimise pain, and after that, if you're still sore, just let your nurses and doctors know and we can try different things to minimise the pain and to keep you comfortable.</span>"
recovery,"_""How long is the recovery?""_",,"<span style=""font-size:14pt;color:navy;font-family:comic sans ms;"">The length of time to recover depends of a few factors, including the age and general health of the patient, how severe the appendicitis was and whether the operation was possible as keyhole, which usually has a quicker recovery, or a bigger cut. When things are straightforward most patientw will get back to full activities and work after 2 weeks.</span>"
risk,"_""What are the main risks with appendicectomy?""_",('/Users/alastairhayes/Desktop/Eponyms/Consent/Appendix_risks.wav'),"<span style=""font-size:14pt;color:navy;font-family:comic sans ms;"">Risks include injury to nearby structures such as bowel, bladder, blood vessels, and in women, damage to pelvic organs. Collections. Deep vein blood clots. Respiratory complications.</span>"
risks,"_""What are the main risks with appendicectomy?""_",('/Users/alastairhayes/Desktop/Eponyms/Consent/Appendix_risks.wav'),"<span style=""font-size:14pt;color:navy;font-family:comic sans ms;"">Risks include injury to nearby structures such as bowel, bladder, blood vessels, and in women, damage to pelvic organs. Collections. Deep vein blood clots. Respiratory complications.</span>"
sore,"_""Will the operation be painful?""_",,"<span style=""font-size:14pt;color:navy;font-family:comic sans ms;"">Whilst it will not be entirely pain free, there is a lot we routinely do to minimise pain, and after that, if you're still sore, just let your nurses and doctors know and we can try different things to minimise the pain and to keep you comfortable.</span>"
wait,"_""How long do people normally wait for appendicectomy?""_",,"<span style=""font-size:14pt;color:navy;font-family:comic sans ms;"">Appendicectomy is almost always performed as an emergency procedure performed in the hospital's emergency operating theatre. It would be unusual to wait more than 24 hours after the decision has been made a patient has signed a consent form.</span>"
waiting,"_""How long do people normally wait for appendicectomy?""_",,"<span style=""font-size:14pt;color:navy;font-family:comic sans ms;"">Appendicectomy is almost always performed as an emergency procedure performed in the hospital's emergency operating theatre. It would be unusual to wait more than 24 hours after the decision has been made a patient has signed a consent form.</span>"
wate,"_""How long do people normally wait for appendicectomy?""_",,"<span style=""font-size:14pt;color:navy;font-family:comic sans ms;"">Appendicectomy is almost always performed as an emergency procedure performed in the hospital's emergency operating theatre. It would be unusual to wait more than 24 hours after the decision has been made a patient has signed a consent form.</span>"
last,"_""How long does the operation take to perform?""_",,"<span style=""font-size:14pt;color:navy;font-family:comic sans ms;"">The actual surgery part of the operation is pretty variable as far as length of time. It can be as quick as half an hour to anything up to 3 hours if it is very difficult and requires conversion to open surgery. But 1 hour is the average.</span>"
take,"_""How long does the operation take to perform?""_",,"<span style=""font-size:14pt;color:navy;font-family:comic sans ms;"">The actual surgery part of the operation is pretty variable as far as length of time. It can be as quick as half an hour to anything up to 3 hours if it is very difficult and requires conversion to open surgery. But 1 hour is the average.</span>"
keyhole,"_""Will the operation be laparoscopic (keyhole)?""_",,"<span style=""font-size:14pt;color:navy;font-family:comic sans ms;"">Usually we perform the operation keyhole (called laparoscopic), unless there is a very good reason not to. That said, it is not uncommon that we find that the operation is not possible by the keyhole method and we convert to open surgery with an incision (a cut) to get access into the abdomen to remove the appendix.</span>"
lap,"_""Will the operation be laparoscopic (keyhole)?""_",,"<span style=""font-size:14pt;color:navy;font-family:comic sans ms;"">The actual surgery part of the operation is pretty variable as far as length of time. It can be as quick as half an hour to anything up to 3 hours if it is very difficult and requires conversion to open surgery. But 1 hour is the average.</span>"
laparoscopic,"_""Will the operation be laparoscopic (keyhole)?""_",,"<span style=""font-size:14pt;color:navy;font-family:comic sans ms;"">The actual surgery part of the operation is pretty variable as far as length of time. It can be as quick as half an hour to anything up to 3 hours if it is very difficult and requires conversion to open surgery. But 1 hour is the average.</span>"
key,"_""Will the operation be laparoscopic (keyhole)?""_",,"<span style=""font-size:14pt;color:navy;font-family:comic sans ms;"">Usually we perform the operation keyhole (called laparoscopic), unless there is a very good reason not to. That said, it is not uncommon that we find that the operation is not possible by the keyhole method and we convert to open surgery with an incision (a cut) to get access into the abdomen to remove the appendix.</span>"
